eloadoid	nev	zenekar
283	Catherine Ferry	0
284	Causes	1
285	Celine Dion	0
286	Chaka Khan	0
287	Champaign	1
288	Charlene	0
289	Charles & Eddie	1
290	Charles Aznavour	0
291	Charles Trenet	0
292	Charlie Daniels Band	1
293	Charlie Rich	0
294	Charly Lownoise en Mental Theo	1
295	Chas and Dave	1
296	Cheap Trick	1
297	Chef'Special	1
298	Cher	0
299	Chi Coltrane	0
300	Chi- Lites	1
301	Chic	1
302	Chicago	1
303	Chicken Shack	1
304	Chicory Tip	1
305	China Crisis	1
306	Chris Andrews	0
307	Chris Barber's Jazz Band	1
308	Chris De Burgh	0
309	Chris Farlowe	0
310	Chris Isaak	0
311	Chris Montez	0
312	Chris Rea	0
313	Chris Stapleton	0
314	Christie	1
315	Christina Aguilera	0
316	Christopher Cross	0
317	Chubby Checker	0
318	Chuck Berry	0
319	Cilla Black	0
320	Circus Custers	1
321	Cirque du Soleil	1
322	City To City	1
323	Clannad	1
324	Clarence 'Frogman' Henry	0
325	Claudia de Breij	0
326	Claw Boys Claw	1
327	Clean Bandit	1
328	Cliff Richard	0
329	Cliff Richard & The Shadows	0
330	Cliff Richard & The Young Ones	1
331	Clouseau	1
332	Clout	1
333	Coasters & King Curtis	1
334	Cock Robin	1
335	Cockney Rebel	0
336	Coldplay	1
337	Coldplay & Avicii	1
338	Coldplay ft. Beyoncé	1
339	Colin Blunstone	0
340	Collective Consciousness Society	1
341	Connie Francis	0
342	Consortium	1
343	Conny Froboess	0
344	Conny Vandenbos	0
345	Coolio ft. L.V.	0
346	Cornelis Vreeswijk	0
347	Corry & Rekels	1
348	Corry Brokken	0
349	Counting Crows	1
350	Counting Crows & Bløf	1
351	Country Joe and the Fish	1
352	Crash Test Dummies	1
353	Cream	1
354	Creedence Clearwater Revival	1
355	Crispian St. Peters	0
356	Crosby, Stills & Nash	1
357	Crosby, Stills, Nash & Young	1
358	Crowded House	1
359	Crystal Fighters	1
360	Crystal Gayle	0
361	Cuby & The Blizzards	1
362	Culture Club	1
363	Cunningham	0
364	Curiosity Killed The Cat	1
365	Curtis Mayfield	0
366	Curved Air	1
367	Cutting Crew	1
368	Cyndi Lauper	0
369	Daft Punk	1
370	Daft Punk ft. Pharrell & Nile Rodgers	1
371	Dalida	0
372	Damien Rice	0
373	Dan Fogelberg	0
374	Dan Hartman	0
375	Dana	0
376	DANDY WARHOLS	1
377	Daniel Lohues	0
378	Daniel Powter	0
379	Danyel Gérard	0
380	Danny & the Juniors	1
381	Danny de Munk	0
382	Danny Mirror	0
383	Danny Vera	0
384	Darts	1
385	Darude	0
386	Dave	0
387	Dave Berry	0
388	Dave Davies	0
389	Dave Dee Dozy Beaky Mick & Tich	1
390	Dave Edmunds	1
391	Dave Stewart	0
392	David Bowie	0
393	David Bowie & Mick Jagger	0
394	David Bowie & Pat Metheny Group	0
395	David Cassidy	0
396	David Garrick	0
397	David Glen Eisley	0
398	David Gray	0
399	David Guetta & Kelly Rowland	0
400	David Guetta & Sia	0
401	David McWilliams	0
402	David Soul	0
403	David Sylvian	0
404	Davina Michelle	0
405	Dawn and Tony Orlando	1
406	DC Lewis	0
407	De Dijk	1
408	De Dijk & Solomon Burke	1
409	De Jazzpolitie	1
410	De Jeugd van Tegenwoordig	0
411	De Kast	1
412	De Poema's	1
413	De Staat	1
414	Dead or Alive	1
415	Dean Friedman	0
416	Dean Martin	0
417	DeBarge	1
418	Deep Blue Something	1
419	Deep Purple	1
420	Del Shannon	0
421	Delaney, Bonnie & Friends	1
422	Delegation	1
423	Delerium	1
424	Demis Roussos	0
425	Deniece Williams	0
426	Depeche Mode	1
427	Derek & The Dominos	1
428	Desireless	0
429	Desmond Dekker	0
430	Des'ree	0
431	Detroit Emeralds	1
432	DEUS	1
433	Dexy's Midnight Runners & The Emerald Express	1
434	Diana Ross	0
435	Diana Ross & Lionel Richie	0
436	Diana Ross & The Supremes	0
437	Dido	0
438	Diesel	1
439	Diggy Dex	0
440	Dillinger	1
441	Dimitri van Toren	0
442	Dionne Warwick	0
443	Dire Straits	1
444	DI-RECT	1
445	Disturbed	1
446	DJ Paul Elstak	0
447	DJ Tiësto	0
448	Do	0
449	Doe Maar	1
450	Dolly Dots	1
451	Dolly Parton	0
452	Don Henley	0
453	Don McLean	0
454	Don Mercedes	0
455	Don Partridge	0
456	Don Quishocking	1
457	Don Rosenbaum	0
458	Donald Fagen	0
459	Donna Hightower	0
460	Donna Summer	0
461	Donovan	0
462	Doris Day	0
463	Dorus	0
464	Dotan	0
465	Doug Ashdown	0
466	Douwe Bob	0
467	Douwe Bob & Jacqueline Govaert	0
468	Dr Hook	1
469	Dr. Buzzard Or. Savannah Band	1
470	Dr. Dre Ft. Snoop Dogg, Kurupt & Nate Dogg	0
471	Drafi Deutscher	0
472	Drs. P	0
473	Drukwerk	0
474	Dua Lipa	0
475	Dubliners	1
476	Duffy	0
477	Duke Ellington	0
478	Duncan Browne	0
479	Duncan Laurence	0
480	Duran Duran	1
481	Dusty Springfield	0
482	Dutch	1
483	Eagle Eye Cherry	0
484	Eagles	1
485	Eagles Of Death Metal	1
486	Earth & Fire	1
487	Earth Wind & Fire ft. The Emotions	1
488	Earth, Wind & Fire	1
489	Echo & The Bunnymen	1
490	Ed Sheeran	0
491	Eddie Cochran	0
492	Eddie Floyd	0
493	Eddie Hodges	0
494	Eddie Howell	0
495	Eddie Money	0
496	Eddie Vedder	0
497	Eddy Grant	0
498	Ede Staal	0
499	Edison Lighthouse	1
500	Edith Piaf	0
501	Editors	1
502	Edward Sharpe & The Magnetic Zeros	1
503	Edwin Hawkins Singers	1
504	EELS	1
505	Egbert Douwe	0
506	Ekseption	1
507	El Debarge	0
508	Elaine Paige & Barbara Dickson	0
509	Elbow	1
510	Electric Light Orchestra	1
511	Electric Light Orchestra & Olivia Newton-John	1
512	Electronicas	1
513	Elkie Brooks	0
514	Ella Fitzgerald	0
515	Ella Fitzgerald & Louis Armstrong	0
516	Ellen Foley	0
517	Ellen Ten Damme & 3JS	1
518	Ellie Goulding	0
519	Elton John	0
520	Elton John & Kiki Dee	0
521	Elvin Bishop	0
522	Elvis Costello	0
523	Elvis Presley	0
524	Elvis vs. JXL	0
525	Emeli Sandé	0
526	Emerson, Lake & Palmer	1
527	Emilia	0
528	Eminem	0
529	Eminem feat. Dido	0
530	Eminem ft. Rihanna	0
531	Emmylou Harris	0
532	Engelbert Humperdinck	0
533	England Dan	1
534	Enigma	1
535	Ennio Morricone	0
536	Enrique Iglesias	0
537	Enrique Iglesias & Whitney Houston	0
538	Enya	0
539	Eric Carmen	0
540	Eric Clapton	0
541	Eros Ramazzotti	0
542	Eros Ramazzotti & Anastacia	0
543	Eros Ramazzotti & Tina Turner	0
544	Eruption	1
545	Esther & Abi Ofarim	1
546	Etta James	0
547	Eumir Deodato	0
548	Europe	1
549	Eurythmics	1
550	Euson	0
551	Eva Cassidy	0
552	Eva De Roovere	0
553	Evanescence	1
554	Everything But The Girl	1
555	Exile	0
556	Extreme	1
557	F.R. David	0
558	Faces	1
559	Fairground Attraction	1
560	Fairport Convention	1
561	Faith No More	1
562	Faithless	1
563	Falco	0
564	Family Of The Year	1
565	Fat Matress	1
566	Fatal Flowers	1
567	Fatboy Slim	0
568	Fats Domino	1
569	Fay Lovsky	0
570	Feargal Sharkey	0
571	Ferre Grignard	0
572	Fiction Factory	1
573	Fine Young Cannibals	1
574	Fink	0
575	Firefall	1
576	First Aid Kit	1
577	Fischer Z	0
578	Fish	1
579	Five Americans	1
580	Flash & The Pan	1
581	Fleetwood Mac	1
582	Floor Jansen & Henk Poort	0
583	Florence And The Machine	1
584	Fluitsma & Van Tijn	1
585	Focus	1
586	Foo Fighters	1
587	Fools Garden	1
588	Foreigner	1
589	Fortunes	1
590	Foster The People	1
591	Four Tops	1
592	Foxy	0
593	France Gall	1
594	Françoise Hardy	0
595	Frank Boeijen Groep	1
596	Frank Duval	0
597	Frank Ifield	0
598	Frank Sinatra	0
599	Frank Zappa	0
600	Frankie Goes To Hollywood	1
601	Frankie Laine	0
602	Frankie Miller	0
603	Frankie Valli	0
604	Frans Bauer	0
605	Frans Bauer & Marianne Weber	0
606	Frans Halsema	0
607	Frans Halsema & Jenny Arean	0
608	Franz Ferdinand	1
609	Fred Neil	0
610	Freddie & The Dreamers	1
611	Freddie Aguilar	0
612	Freddie Cannon	0
613	Freddie Mercury	0
614	Freddie Mercury & Montserrat Caballé	0
615	Freddy Fender	0
616	Freddy Quinn	0
617	Free	1
618	Freek de Jonge	0
619	Freiheit	1
620	Frida Boccara	0
621	Fugees	1
622	Full House	1
623	Fun.	1
624	Fungus	1
625	Gabriel Rios	0
626	Gabriella Cilmi	0
627	Gare Du Nord	1
628	Garland Jeffreys	0
629	Gary Brooker	0
630	Gary Jules	0
631	Gary Moore	0
632	Gary Puckett & Union Gap	1
633	Gavin DeGraw	0
634	Gavin James	0
635	Gazebo	0
636	Ge Reinders	0
637	Gene Kelly	0
638	Gene Pitney	0
639	Genesis	1
640	George Baker Selection	1
641	George Benson	0
642	George Ezra	0
643	George Gershwin	0
644	George Harrison	0
645	George McCrae	0
646	George Michael	0
647	George Michael & Aretha Franklin	0
648	George Michael & Elton John	0
649	George Michael & Mary J Blige	0
650	George Michael & Queen	0
651	Georges Moustaki	0
652	Georgie Fame	0
653	Gerard Cox	0
654	Gerard Joling	0
655	Gerard Lenorman	0
656	Gerhard Wendland	0
657	Gerry & the Pacemakers	1
658	Gerry Rafferty	0
659	Gers Pardoel	0
660	Gibson Brothers	1
661	GIGI D'AGOSTINO	0
662	Gilbert Becaud	0
663	Gilbert O'Sullivan	0
664	Gino Vannelli	0
665	Gipsy Kings	1
666	Gladys Knight & The Pips	0
667	Glen Campbell	0
668	Glenn Medeiros	0
669	Glenn Miller	0
670	Glennis Grace	0
671	Gloria Estefan	0
672	Gloria Gaynor	0
673	Gnarls Barkley	1
674	Godley & Creme	1
675	Golden Earring	1
676	Goldie	0
677	Goo Goo Dolls	1
678	Goombay Dance Band	1
679	Gordon	0
680	Gordon Lightfoot	0
681	GORILLAZ	1
682	Gorki	0
683	Gossip	1
684	Gotye	0
685	Grace Jones	0
686	Graham Nash	0
687	Grand Funk Railroad	1
688	Grapefruit	1
689	Greatest Show On Earth	1
690	Green Day	1
691	Greenfield & Cook	1
692	Gregory Porter	0
693	Greyhound	1
694	Grover Washington jr.	0
695	Gruppo Sportivo	1
696	Gudrun Jankis	0
697	Guns N' Roses	1
698	Gusttavo Lima	0
699	Guus Meeuwis	0
700	Guus Meeuwis & Gers Pardoel	0
701	Guus Meeuwis & Vagant	0
702	Guy Fletcher	0
703	Guy Mitchell	0
704	Guys & Dolls	1
705	Haddaway	0
706	Haevn	1
707	Hall & Oates	1
708	Handsome Poets	1
709	Hank The Knife & The Jets	1
710	Hans de Booy	0
711	Harold Faltermeyer	0
712	Harold Melvin & The Blue Notes	1
713	Harpo	0
714	Harry Belafonte	0
715	Harry Chapin	0
716	Harry Klorkestein	0
717	Harry Nilsson	0
718	Harry Styles	0
719	Hazel O'Connor	0
720	Heart	1
721	Heaven 17	1
722	Hedgehoppers Anonymous	1
723	Helen Shapiro	0
724	Helene Fischer	0
725	Henk Westbroek	0
726	Henk Wijngaard	0
727	Hep Stars	1
728	Herb Alpert	0
729	Herbert Gronemeyer	0
730	Herman Brood	0
731	Herman Brood & Henny Vrienten	0
732	Herman Brood & His Wild Romance	0
733	Herman van Keeken	0
734	Herman van Veen	0
735	Herman's Hermits	1
736	Hero	1
737	Het	1
738	Het Goede Doel	1
739	Honeybus	1
740	Honeycombs	1
741	Hot Butter	1
742	Hot Chocolate	1
743	House Of Pain	1
744	Hozier	0
745	Höllenboer	1
746	Hues Corporation	1
747	Huey Lewis & the News	0
748	Hunters	1
749	Ian Dury & Blockheads	1
750	Icehouse	1
751	Iggy Pop	0
752	Iggy Pop Ft. Kate Pierson	0
753	Ike & Tina Turner	1
754	Ilse DeLange	0
755	Imaani	0
756	Imagination	1
757	Imagine Dragons	1
758	Incognito	1
759	Indeep	1
760	INXS	1
761	Irene Cara	0
762	Iron Butterfly	1
763	Iron Maiden	1
764	Is Ook Schitterend	1
765	Isaac Hayes	0
766	Ivan Heylen	0
767	J. Geils Band	1
768	J. Vincent Edwards	0
769	J.J. Cale	0
770	Jack Jersey	0
771	Jack Johnson	0
772	Jackie DeShannon	0
773	Jackie Wilson	0
774	Jackson 5	1
775	Jackson Browne	0
776	Jackson Browne & Clarence Clemons	0
777	Jacques Brel	0
778	Jacques Dutronc	0
779	Jacques Herb	0
780	James & Bobby Purify	1
781	James Arthur	0
782	James Bay	0
783	James Blake	0
784	James Blunt	0
785	James Brown	0
786	James Ingram & Patti Austin	0
787	James Morrison	0
788	James Morrison & Nelly Furtado	0
789	James Taylor	0
790	James Taylor & Mark Knopfler	0
791	Jamie Cullum	0
792	Jamiroquai	1
793	Jan Hammer	0
794	Jan Smit	0
795	Janet Jackson	0
796	Janis Ian	0
797	Janis Joplin	0
798	Japan	1
799	Jason Donovan	0
800	Jason Mraz	0
801	Jason Mraz & Colbie Caillat	0
802	Jason Paige	0
803	Jay & The Americans	1
804	JAY Z	0
805	Jay Z & Kanye West	0
806	Jay Z ft. Alicia Keys	0
807	Jean Michel Jarre	0
808	Jeannie C. Riley	0
809	Jeff Beck	0
810	Jeff Buckley	0
811	Jeff Wayne	0
812	Jeff Wayne & Justin Hayward	0
813	Jefferson Airplane	1
814	Jennifer Lopez	0
815	Jennifer Paige	0
816	Jennifer Rush	0
817	Jermaine Jackson	0
818	Jermaine Jackson & Pia Zadora	0
819	Jeroen van der Boom	0
820	Jeroen van Koningsbrugge	0
821	Jerry Lee Lewis	0
822	Jesse Green	0
823	Jessie J	0
824	Jethro Tull	1
825	Jets	0
826	Jett Rebel	0
827	Jewel	0
828	Jewel Akens	0
829	Jim Croce	0
830	Jim Diamond	0
831	Jim Gilstrap	0
832	Jim Reeves	0
833	Jimi Hendrix	0
834	Jimi Hendrix Experience	1
835	Jimmy 'Bo' Horne	0
836	Jimmy Cliff	0
837	Jimmy Fontana	0
838	Jimmy Ruffin	0
839	JJ Cale	0
840	Joan Armatrading	0
841	Joan Baez	0
842	Joan Jett & The Blackhearts	1
843	Joe Bonamassa	0
844	Joe Cocker	0
845	Joe Cocker & Jennifer Warnes	0
846	Joe Dassin	0
847	Joe Jackson	0
848	Joe South	0
849	Joey Dee & The Starlighters	1
850	Joey Dyser	0
851	JOHAN	0
852	John Denver	0
853	John Farnham	0
854	John Fred & The Playboy Band	0
855	John Hiatt	0
856	John Legend	0
857	John Lennon	0
858	John Lennon & Plastic Ono Band	0
859	John Leyton	0
860	John Mayall	0
861	John Mayer	0
862	John Mayer & Taylor Swift	0
863	John Miles	0
864	John Newman	0
865	John Parr	0
866	John Paul Young	0
867	John Rowles	0
868	John Travolta	0
869	John Travolta & Olivia Newton-John	0
870	John Waite	0
871	Johnny & Orquestra Rodrigues	0
872	Johnny & the Hurricanes	1
873	Johnny Bristol	0
874	Johnny Cash	0
875	Johnny Guitar Watson	0
876	Johnny Hallyday	0
877	Johnny Hates Jazz	1
878	Johnny Kidd & The Pirates	1
879	Johnny Lion	0
880	Johnny Logan	0
881	Johnny Mathis & Deniece Williams	0
882	Johnny Nash	0
883	Johnny Tillotson	0
884	Jon & Vangelis	0
885	Jon Allen	0
886	Jon Anderson	0
887	Jon Secada	0
888	Jona Lewie	0
889	Jonathan Jeremiah	0
890	Jonathan Richman & The Modern Lovers	1
891	Joni Mitchell	0
892	Joost Nuissl	0
893	Jose Feliciano	0
894	Joshua Kadison	0
895	Journey	1
896	Joy Division	0
897	Juanes	0
898	Judie Tzuke	0
899	Judy Collins	0
900	Judy Garland	0
901	Jules de Corte	0
902	Juliane Werding	0
903	Julie Covington	0
904	Julie Driscoll & The Brian Auger Trinity	1
905	Julie Rogers	0
906	Julien Clerc	0
907	Julio Iglesias	0
908	June Lodge & Mohammed	0
909	Justin Bieber	0
910	Justin Timberlake	0
911	Kadanz	1
912	Kaiser Chiefs	1
913	Kajagoogoo	1
914	Kaleo	1
915	Kalin Twins	1
916	Kamahl	0
917	Kane	0
918	Kane & Ilse DeLange	0
919	Kane Gang	1
920	Kansas	1
921	Kaoma	1
922	Karen Young	0
923	Karin Bloemen	0
924	Kate Bush	0
925	Katie Melua	0
926	Katrina & the Waves	1
927	Katy Perry	0
928	Katy Perry ft. Skip Marley	0
929	Kayak	1
930	KC & The Sunshine Band	1
931	Keane	1
932	Keith West	1
933	Kelly Clarkson	0
934	Kelly Family	1
935	Kensington	1
936	Kenny B.	0
937	Kenny Loggins, Stevie Nicks	0
938	Kenny Rogers	0
939	Kenny Rogers & Dolly Parton	0
940	Kenny Rogers & Sheena Easton	0
941	Kevin Ayers	0
942	Kid Creole & the Coconuts	1
943	Kid Rock	0
944	Kids from Fame	1
945	Kiki Dee	0
946	Killing Joke	1
947	Kim Carnes	0
948	Kim Wilde	0
949	Kincade	1
950	Kinderen voor Kinderen	1
951	King	1
952	King Crimson	1
953	King Curtis	0
954	Kings Of Leon	1
955	Kingston Trio	1
956	Kiss	1
957	Klaatu	1
958	Klein Orkest	1
959	Kodaline	1
960	Kool & The Gang	1
961	Koos Alberts	0
962	Koot & Bie	1
963	Korn	1
964	Kovacs	0
965	Kraftwerk	1
966	Krezip	1
967	Krystl	0
968	K's choice	1
969	KT Tunstall	0
970	Kylie Minogue	0
971	Kyteman	0
972	Kyu Sakamoto	0
973	Labelle	0
974	Labi Siffre	0
975	Labrinth feat. Emeli Sandé	1
976	Lace	0
977	Lady Antebellum	1
978	Lady Gaga	0
979	Lady Gaga & Bradley Cooper	0
980	Lady Gaga, Bradley Cooper	0
981	Laid Back	1
982	Lana Del Rey	0
983	Lange Frans & Baas B.	1
984	Lange Frans & Thé Lau	1
985	Latin Quarter	1
986	Laura Branigan	0
987	Laura Jansen	0
988	Laura Pausini	0
989	Lauren Daigle	0
990	LeAnn Rimes	0
991	Led Zeppelin	1
992	Lee Towers	0
993	Leen Jongewaard	0
994	Leen Jongewaard & Hetty Blok	0
995	Leif Garrett	0
996	Lemon Pipers	1
997	Lenny Kravitz	0
998	Lenny Kuhr	0
999	Leo Sayer	0
1000	Leon de Graaff	0
1001	Leonard Cohen	0
1002	Les Reed Orchestra	1
1003	Level 42	1
1004	Lewis Capaldi	0
1005	Lex Uiting	0
1006	Liesbeth List	0
1007	Lighthouse Family	1
1008	Limahl	0
1009	Limp Bizkit	1
1010	Linda Ronstadt	0
1011	Linda Roos & Jessica	1
1012	Linkin Park	1
1013	Lionel Richie	0
1014	Lionel Richie & Trijntje Oosterhuis	0
1015	Lipps Inc	1
1016	Liquido	1
1017	Lisa Lois	0
1018	Lisa Stansfield	0
1019	Little Jimmy Osmond	0
1020	Little Peggy March	0
1021	Little Richard	0
1022	Little River Band	1
1023	Little Steven	0
1024	Live	1
1025	Liverpool Express	1
1026	Livin' Blues	1
1027	Living Colour	1
1028	Lloyd Price	0
1029	Lobo	0
1030	London Grammar	1
1031	Londonbeat	1
1032	Long John Baldry	0
1033	Long Tall Ernie and The Shakers	1
1034	Lorde	0
1035	Loreen	0
1036	Lori Spee	0
1037	Los Angeles	1
1038	Los Bravos	1
1039	Los Del Rio	1
1040	Los Incas	1
1041	Los Índios Tabajaras	1
1042	Los Lobos	1
1043	Lou Christie	0
1044	Lou Rawls	0
1045	Lou Rawls & Dianne Reeves	0
1046	Lou Reed	0
1047	Louis Armstrong	0
1048	Louis Neefs	0
1049	Louis Prima	0
1050	Love Affair	1
1051	Love Unlimited	1
1052	Lovin' Spoonful	1
1053	Lowell George	0
1054	LP	0
1055	LTD	1
1056	Lucie Silvas	0
1057	Lucifer	1
1058	Lucille Starr	0
1059	Luis Fonsi ft. Daddy Yankee	0
1060	Luisa Fernandez	0
1061	Lukas Graham	0
1062	Lulu	0
1063	Luv'	1
1064	Lynn Anderson	0
1065	Lynsey de Paul	0
1066	Lynyrd Skynyrd	0
1067	M	0
1068	M.A.S.H.	1
1069	Maaike Ouboter	0
1070	Maarten van Roozendaal	0
1071	Mac & Katie Kissoon	1
1072	Macklemore & Ryan Lewis Ft. Ray Dalton	0
1073	Macklemore ft. Ryan Lewis	0
1074	Madness	1
1075	Madonna	0
1076	Maggie MacNeal	0
1077	Magna Carta	1
1078	Mai Tai	1
1079	Maitre Gims	0
1080	Major Lazer	1
1081	Majority One	1
1082	Malando	0
1083	Mama Cass	0
1084	Manfred Mann	1
1085	Manfred Mann's Earth band	1
1086	Manhattans	1
1087	Manic Street Preachers	1
1088	Mannenkoor Karrespoor	1
1089	Manu Chao	0
