id	nev
355	Ipolytölgyes
356	Ipolyvece
357	Isaszeg
358	Ispánk
359	Istenmezeje
360	Istvándi
361	Ivánc
362	Izsák
363	Jánossomorja
364	Jászivány
365	Jászszentlászló
366	Jósvafő
367	Kács
368	Kajárpéc
369	Kakucs
370	Kál
371	Kállósemjén
372	Káloz
373	Kám
374	Kántorjánosi
375	Kapolcs
376	Káptalanfa
377	Káptalantóti
378	Kapuvár
379	Karancsalja
380	Karancsberény
381	Karancslapujtő
382	Kárász
383	Karcag
384	Kardoskút
385	Karmacs
386	Kaskantyú
387	Kastélyosdombó
388	Kaszó
389	Kazár
390	Kékkút
391	Kelemér
392	Kéleshalom
393	Kemence
394	Kemeneskápolna
395	Kemse
396	Kercaszomor
397	Kerecsend
398	Kerekegyháza
399	Kerkáskápolna
400	Kesznyéten
401	Keszthely
402	Kesztölc
403	Kétegyháza
404	Kétvölgy
405	Kimle
406	Királyhegyes
407	Kisapáti
408	Kisar
409	Kisbárkány
410	Kisbodak
411	Kisgyőr
412	Kishódos
413	Kishuta
414	Kisköre
415	Kiskőrös
416	Kiskunhalas
417	Kiskunlacháza
418	Kislőd
419	Kismarja
420	Kismaros
421	Kisnána
422	Kisoroszi
423	Kispalád
424	Kisrákos
425	Kisújszállás
426	Kisszekeres
427	Kisszentmárton
428	Komádi
429	Komárom
430	Komjáti
431	Komlósd
432	Komlóska
433	Kompolt
434	Kondorfa
435	Kóny
436	Konyár
437	Kóspallag
438	Kozárd
439	Kölcse
440	Kölked
441	Kömlő
442	Kömörő
443	Körmend
444	Körösnagyharsány
445	Körösszegapáti
446	Kőszeg
447	Kőszegdoroszló
448	Kőszegszerdahely
449	Kőtelek
450	Kővágóörs
451	Kővágószőlős
452	Köveskál
453	Kunadacs
454	Kunbaracs
455	Kunfehértó
456	Kunmadaras
457	Kunpeszér
458	Kunszentmárton
459	Kunszentmiklós
460	Kunsziget
461	Lábatlan
462	Lakitelek
463	Lakócsa
464	Látrány
465	Leányfalu
466	Lébény
467	Lesencefalu
468	Lesenceistvánd
469	Lesencetomaj
470	Létavértes
471	Letenye
472	Letkés
473	Lipót
474	Lukácsháza
475	Maglóca
476	Magosliget
477	Magyarcsanád
478	Magyaregregy
479	Magyarföld
480	Magyarhomorog
481	Magyarlak
482	Magyarlukafa
483	Magyarszombatfa
484	Makkoshotyka
485	Makó
486	Mályinka
487	Mánfa
488	Marcali
489	Máriakálnok
490	Márianosztra
491	Markaz
492	Márkháza
493	Márokpapi
494	Maroslele
495	Mártély
496	Martfű
497	Martonvásár
498	Martonyi
499	Mátraszele
500	Mátraszentimre
501	Mátraszőlős
