ev	sorrend	orszag	nyelv	eloado	eredeti	magyar	helyezes	pontszam
1987	19	Dánia	dán	Anne-Cathrine Herdorf és Bandjo	En lille melodi	Egy kis dal	5	83
1980	3	Görögország	görög	Anna Vissi és az Epikouri	Autostop	Stoppolás	13	30
2009	1	Litvánia	angol, orosz	Sasha Son	Love	Szerelem	23	23
2001	6	Oroszország	angol	Mumiy Troll	Lady Alpine Blue	Alpesi kék hölgy	12	37
1976	11	Finnország	angol	Fredi & Ystävät	Pump Pump	—	11	44
1964	7	Franciaország	francia	Rachel	Le chant de Mallory	Mallory dala	4	14
2000	22	Törökország	török, angol	Pınar Ayhan & The SOS	Yorgunum Anla	Értsd meg, hogy belefáradtam	10	59
1991	18	Belgium	holland	Clouseau	Geef het op	Add fel	16	23
1958	1	Olaszország	olasz	Domenico Modugno	Nel blu dipinto di blu	Kékre színezett kékben	3	13
2003	5	Málta	angol	Lynn Chircop	To Dream Again	Újra álmodni	25	4
2000	3	Egyesült Királyság	angol	Nicki French	Don't Play That Song Again	Ne játsszd újra azt a dalt	16	28
2013	20	Azerbajdzsán	angol	Farid Mammadov	Hold Me	Ölelj át!	2	234
1999	19	Izrael	héber, angol	Eden	Yom huledet	Születésnap	5	93
1972	3	Írország	ír	Sandie Jones	Ceol an Ghrá	A szerelem zenéje	15	72
2002	9	Macedónia	macedón	Karolina Gočeva	Od nas zavisi	Rajtunk múlik	19	25
2006	10	Oroszország	angol	Dima Bilan	Never Let You Go	Sosem hagylak elmenni	2	248
1996	5	Ciprus	görög	Constantinos	Mono yia mas	Csak nekünk	9	72
1968	2	Hollandia	holland	Ronnie Tober	Morgen	Holnap	16	1
1977	4	Ausztria	német	Schmetterlinge	Boom Boom Boomerang	Bumm bumm bumeráng	17	11
2011	12	Olaszország	olasz, angol	Raphael Gualazzi	Madness of Love	A szerelem bolondsága	2	189
1988	12	Ausztria	német	Wilfried	Lisa Mona Lisa	—	21	0
2003	6	Bosznia-Hercegovina	bosnyák, angol	Mija Martina	Ne brini	Ne aggódj	16	27
1974	14	Németország	német	Cindy & Bert	Die Sommermelodie	A nyári dal	14	3
2013	16	Svédország	angol	Robin Stjernberg	You	Te	14	62
2009	15	Észtország	észt	Urban Symphony	Rändajad	Vándorok	6	129
1992	14	Luxemburg	luxemburgi	Marion Welter & Kontinent	Sou fräi	Szabadon	21	10
