ev	sorrend	orszag	nyelv	eloado	eredeti	magyar	helyezes	pontszam
1958	2	Hollandia	holland	Corry Brokken	Heel de wereld	Az egész világ	9	1
2012	9	Franciaország	francia, angol	Anggun	Echo (You and I)	Visszhang (Te és én)	22	21
2005	4	Románia	angol	Luminiţa Anghel & Sistem	Let Me Try	Engedd, hogy megpróbáljam	3	158
2011	21	Izland	angol	Sjonni's Friends	Coming Home	Hazatérés	20	61
1996	13	Franciaország	breton	Dan Ar Braz és L'Héritage des Celtes	Diwanit bugale	Talán megszületik a gyermek	19	18
1996	10	Görögország	görög	Mariana Efstratiou	Emis forame to himona anixiatika	Tavaszi ruhát viselünk télen	14	36
1994	20	Ausztria	német	Petra Frey	Für den Frieden der Welt	A világ békéjéért	17	19
1980	14	Portugália	portugál	José Cid	Um grande, grande amor	Egy nagy, nagy szerelem	7	71
1973	2	Belgium	holland, angol, francia, spanyol	Nicole és Hugo	Baby, Baby	Bébi, bébi	17	58
2004	9	Albánia	angol	Anjeza Shahini	The Image of You	A képed	7	106
1983	2	Norvégia	norvég	Jahn Teigen	Do Re Mi	Dó, ré, mi	9	53
2010	10	Írország	angol	Niamh Kavanagh	It’s For You	Ez neked szól	23	25
1967	13	Norvégia	norvég	Kirsti Sparboe	Dukkemann	Bábu	14	2
2008	22	Spanyolország	spanyol	Rodolfo Chikilicuatre	Baila el chiki chiki	Táncold a chiki-chikit	16	55
1995	19	Dánia	dán	Aud Wilken	Fra Mols til Skagen	Molstól Skagenig	5	92
1995	1	Lengyelország	lengyel	Justyna	Sama	Egyedül	18	15
1985	3	Ciprus	görög	Lia Vissi	To katalava arga	Túl későn jöttem rá	16	15
2010	23	Portugália	portugál	Filipa Azevedo	Há dias assim	Vannak olyan napok	18	43
1978	1	Írország	angol	Colm C. T. Wilkinson	Born to Sing	Éneklésre születve	5	86
1966	6	Norvégia	norvég	Åse Kleveland	Intet er nytt under solen	Nincs új a nap alatt	3	15
2010	19	Románia	angol	Paula Seling és Ovi	Playing with Fire	A tűzzel játszani	3	162
2000	4	Észtország	angol	Ines	Once in a Lifetime	Egyszer egy életben	4	98
1992	5	Görögország	görög	Cleopatra	Olou tou kosmou i elpida	A világ minden reménye	5	94
1996	16	Belgium	holland	Lisa del Bo	Liefde is een kaartspel	A szerelem egy kártyajáték	16	22
2000	20	Finnország	angol	Nina Åström	A Little Bit	Egy kicsit	18	18
2010	18	Franciaország	francia	Jessy Matador	Allez! Ola! Olé!	Hajrá! Olá! Olé!	12	82
2000	21	Lettország	angol	Brainstorm	My Star	Csillagom	3	136
1978	20	Svédország	svéd	Björn Skifs	Det blir alltid värre framåt natten	Éjszaka mindig rosszabb lesz	14	26
2012	24	Szerbia	szerb	Željko Joksimović	Nije ljubav stvar	A szerelem nem egy tárgy	3	214
1979	9	Németország	német	Dschinghis Khan	Dschinghis Khan	Dzsingisz kán	4	86
1968	17	Jugoszlávia	szerbhorvát	Dubrovački trubaduri	Jedan dan	Egy nap	7	8
1988	13	Dánia	dán	Hot Eyes	Ka' du se hva' jeg sa'?	Nem látod, hogy ezt mondtam neked?	3	92
1999	2	Belgium	angol	Vanessa Chinitor	Like the Wind	Mint a szél	12	38
1990	17	Írország	angol	Liam Reilly	Somewhere In Europe	Valahol Európában	2	132
1963	4	Ausztria	német, angol	Carmela Corren	Vielleicht geschieht ein Wunder	Talán csoda történik	7	16
1970	9	Spanyolország	spanyol	Julio Iglesias	Gwendolyne	Gvendolin	4	8
1988	15	Norvégia	norvég	Karoline Krüger	For vår jord	A Földünknek	5	88
2001	10	Horvátország	angol	Vanna	Strings of My Heart	Szívem húrjai	10	42
1962	13	Egyesült Királyság	angol	Ronnie Carroll	Ring-A-Ding Girl	Csodálatos lány	4	10
1993	9	Izland	izlandi	Inga	Þá veistu svarið	Akkor majd tudod a választ	13	42
1981	10	Spanyolország	spanyol	Bacchelli	Y sólo tú	És csak Te	14	38
1993	3	Németország	német	Münchener Freiheit	Viel zu weit	Túl messze	18	18
1992	10	Málta	angol	Mary Spiteri	Little Child	Kisgyermek	3	123
2010	15	Albánia	angol	Juliana Pasha	It’s All About You	Ez mind rólad szól	16	62
1971	8	Luxemburg	francia	Monique Melsen	Pomme, pomme, pomme	Alma, alma, alma	13	70
1972	18	Hollandia	holland	Sandra és Andres	Als het om de liefde gaat	Amikor a szerelemről van szó	4	106
1959	4	Monaco	francia	Jacques Pills	Mon ami Pierrot	Barátom, Pierrot	11	1
2013	9	Málta	angol	Gianluca	Tomorrow	Holnap	8	120
1986	9	Spanyolország	spanyol	Cadillac	Valentino	Valentino	10	51
1971	18	Norvégia	norvég	Hanne Krogh	Lykken er	A boldogság...	17	65
1979	5	Finnország	finn	Katri Helena	Katson sineen taivaan	Nézem a kék eget	14	38
1965	12	Portugália	portugál	Simone de Oliveira	Sol de inverno	Téli napfény	13	1
1997	15	Portugália	portugál	Célia Lawson	Antes do adeus	A búcsú előtt	24	0
1979	7	Görögország	görög	Elpida	Sokrati	Szókratész	8	69
1979	18	Ausztria	német	Christine Simon	Heute in Jerusalem	Ma Jeruzsálemben	18	5
2010	25	Dánia	angol	Chanée és N'evergreen	In a Moment Like This	Egy ilyen pillanatban	4	149
2010	16	Izland	angol, francia	Hera Björk	Je ne sais quoi	Nem tudom mi	19	41
2001	5	Izrael	héber	Tal Sondak	En davar	Sose bánd	16	25
1979	10	Izrael	héber	Gali Atari és a Milk and Honey	Hallelujah	Hallelúja	1	125
1973	12	Svédország	angol	Nova & The Dolls	You're Summer	Nyár vagy	5	94
1969	1	Jugoszlávia	szerbhorvát	Ivan & 3M	Pozdrav svijetu	Üdvözlet a világnak	13	5
1973	11	Luxemburg	francia	Anne-Marie David	Tu te reconnaîtras	Ráismersz magadra	1	129
1971	9	Egyesült Királyság	angol	Clodagh Rodgers	Jack in the Box	Bohóc a dobozban	4	98
2005	22	Svájc	angol	Vanilla Ninja	Cool Vibes	Hűs rezgések	8	128
1975	15	Finnország	angol	Pihasoittajat	Old Man Fiddle	Öregember hegedűje	7	74
2003	9	Ciprus	angol	Stelios Konstantas	Feeling Alive	Élek	20	15
1984	14	Németország	német	Mary Roos	Aufrecht geh'n	Emelt fővel járj	13	34
1957	10	Svájc	francia	Lys Assia	L’enfant que j’étais	A gyermek, aki voltam	8	5
1999	14	Ciprus	görög	Marlen	Tha 'ne erotas	Ez szerelem lesz	22	2
2012	13	Azerbajdzsán	angol	Sabina Babayeva	When the Music Dies	Ha a zene meghal	4	150
1964	11	Portugália	portugál	António Calvário	Oração	Imádság	13	0
1984	8	Belgium	francia	Jacques Zegers	Avanti la vie	Folytasd az életedet	5	70
1957	2	Luxemburg	francia	Danièle Dupré	Amours mortes (tant de peine)	Halott szerelmek (Oly sok fájdalom)	4	8
2010	6	Bosznia-Hercegovina	angol	Vukašin Brajić	Thunder and Lightning	Villám és mennydörgés	17	51
1969	7	Egyesült Királyság	angol	Lulu	Boom Bang-a-Bang	Bumm beng beng	1	18
1961	12	Norvégia	norvég	Nora Brockstedt	Sommer i Palma	Palmai nyár	7	10
1963	6	Olaszország	olasz	Emilio Pericoli	Uno per tutte	Egy mindenkiért	3	37
1993	23	Ciprus	görög	Kyriakos Zymboulakis és van Beke	Mi stamatas	Ne hagyd abba	19	17
1979	4	Írország	angol	Cathal Dunne	Happy Man	Boldog ember	5	80
1971	12	Svédország	svéd	Family Four	Vita vidder	Fehér látóhatár	6	85
1990	6	Luxemburg	francia	Céline Carzo	Quand je te rêve	Amikor rólad álmodom	13	38
1988	17	Luxemburg	francia	Lara Fabian	Croire	Hinni	4	90
1965	18	Svájc	francia	Yovanna	Non, à jamais sans toi	Nem, örökké nélküled	8	8
1982	14	Jugoszlávia	szerbhorvát	Aska	Halo, Halo	Halló, halló	14	21
1998	2	Görögország	görög	Thalassa	Mia Krifi Evesthisia	Egy rejtett érzék	20	12
1989	19	Görögország	görög	Mariána Efsztrátiu	To dikó szu asztéri	A saját csillagod	9	56
1999	22	Bosznia-Hercegovina	bosnyák, francia	Dino és Béatrice	Putnici	Utazók	7	86
1996	19	Izland	izlandi	Anna Mjöll	Sjúbídú	Subidú	13	51
1958	6	Dánia	dán	Raquel Rastenni	Jeg rev et blad ud af min dagbog	Kitéptem egy lapot a naplómból	8	3
1989	10	Svédország	svéd	Tommy Nilsson	En dag	Egy nap	4	110
1977	1	Írország	angol	The Swarbriggs Plus Two	It's Nice to Be in Love Again	Jó érzés újra szerelmesnek lenni	3	119
2011	14	Egyesült Királyság	angol	Blue	I Can	Tudok	11	100
2010	22	Németország	angol	Lena	Satellite	Műhold	1	246
1997	13	Észtország	észt	Maarja-Liis Ilus	Keelatud maa	Tiltott föld	8	82
1985	7	Törökország	török	MFÖ	Didai didai dai	—	14	36
1996	17	Írország	angol	Eimear Quinn	The Voice	A hang	1	162
1987	18	Finnország	finn	Vicky Rosti és Boulevard	Sata salamaa	Száz villámlás	15	32
1967	17	Írország	angol	Sean Dunphy	If I Could Choose	Ha választhatnék	2	22
1960	6	Norvégia	norvég	Nora Brockstedt	Voi-Voi	—	4	11
1997	10	Spanyolország	spanyol	Marcos Llunas	Sin rencor	Harag nélkül	6	96
2006	3	Izrael	angol, héber	Eddie Butler	Together We Are One	Együtt egyek vagyunk	23	4
1984	6	Egyesült Királyság	angol	Belle & the Devotions	Love Games	Szerelmi játékok	7	63
1990	8	Izland	izlandi	Stjórnin	Eitt lag enn	Még egy dal	4	124
1978	12	Törökország	török	Nilüfer és Nazar	Sevince	Amikor valaki szerelmes	18	2
1983	19	Belgium	holland	Pas de Deux	Rendez-vous	Találka	18	13
1998	5	Svájc	német	Gunvor	Lass' ihn	Hagyd őt	25	0
1993	20	Hollandia	holland	Ruth Jacott	Vrede	Béke	6	92
1998	4	Spanyolország	spanyol	Mikel Herzog	¿Qué voy a hacer sin ti?	Mit csinálnék nélküled?	16	21
1994	5	Izland	izlandi	Sigga	Nætur	Éjszakák	12	49
1990	19	Olaszország	olasz	Toto Cutugno	Insieme: 1992	Együtt: 1992	1	149
1999	1	Litvánia	samogitiai	Aistė	Strazdas	Rigódal	20	13
1981	3	Németország	német	Lena Valaitis	Johnny Blue	—	2	132
2012	3	Albánia	albán	Rona Nishliu	Suus	Egyéni	5	146
1995	15	Egyesült Királyság	angol	Love City Groove	Love City Groove	—	10	76
2005	21	Bosznia-Hercegovina	angol	Feminnem	Call Me	Hívj engem	14	79
1957	1	Belgium	holland	Bobbejaan Schoepen	Straatdeuntje	Utcai dal	8	5
2005	23	Lettország	angol, jelnyelv	Valters és Kaža	The War Is Not Over	Nincsen vége a háborúnak	5	153
1982	1	Portugália	portugál	Doce	Bem bom	Oly jó	13	32
1961	6	Hollandia	holland	Greetje Kauffeld	Wat een dag	Micsoda nap	10	6
1992	22	Németország	német	Wind	Träume sind für alle da	Az álmok mindenkiért vannak	16	27
1966	1	Németország	német	Margot Eskens	Die Zeiger der Uhr	Az óra mutatói	10	7
1962	3	Spanyolország	spanyol	Victor Balaguer	Llámame	Hívjál engem	13	0
2008	6	Bosznia-Hercegovina	bosnyák	Laka	Pokušaj	Próbáld meg	10	110
1986	11	Izrael	héber	Moti Giladi és Sarai Tzuriel	Yavo yom	Új nap jön	19	7
1994	1	Svédország	svéd	Marie Bergman és Roger Pontare	Stjärnorna	A csillagok	13	48
1997	1	Ciprus	görög	Hara és Andreas Konstantinou	Mana mou	Anyaföld	5	98
1986	8	Törökország	török	Klips ve Onlar	Halley	Halley	9	53
1978	8	Egyesült Királyság	angol	Co-Co	The Bad Old Days	A régi rossz napok	11	61
1993	16	Szlovénia	szlovén	1xBand	Tih deževen dan	Egy csendes, esős nap	22	9
1985	4	Dánia	dán	Hot Eyes	Sku' du spørg' fra no'en?	Szeretnéd tudni?	11	41
1993	14	Írország	angol	Niamh Kavanagh	In Your Eyes	Szemeidben	1	187
1995	6	Oroszország	orosz	Filipp Kirkorov	Kolibelnaja dlja vulkana	Altatódal egy vulkánhoz	17	17
2004	12	Bosznia-Hercegovina	angol	Deen	In the Disco	A diszkóban	9	91
1981	2	Törökország	török	Modern Folk Trio és Ayşegül	Dönme Dolap	A körhinta	18	9
2004	14	Oroszország	angol	Julia Savicheva	Believe Me	Higgy nekem	11	67
1995	22	Málta	angol	Mike Spiteri	Keep Me In Mind	Tarts engem észben	10	76
1981	9	Franciaország	francia	Jean Gabilou	Humanahum	—	3	125
1975	16	Portugália	portugál	Duarte Mendes	Madrugada	Hajnal	16	16
2009	3	Franciaország	francia	Patricia Kaas	Et s'il fallait le faire	És ha muszáj lenne megtenni	8	107
2007	6	Macedónia	macedón, angol	Karolina	Mojot svet	Az én világom	14	73
2003	20	Lengyelország	német, lengyel, orosz	Ich Troje	Keine Grenzen - Żadnych granic	Nincsenek határok	7	90
1979	17	Egyesült Királyság	angol	Black Lace	Mary Ann	Marianna	7	73
1986	3	Franciaország	francia	Cocktail Chic	Européennes	Európai lányok	17	13
1995	9	Spanyolország	spanyol	Anabel Conde	Vuelve conmigo	Gyere vissza hozzám	2	119
2000	13	Spanyolország	spanyol	Serafín Zubiri	Colgado de un sueño	Egy álomról lelógva	18	18
1970	3	Olaszország	olasz	Gianni Morandi	Occhi di ragazza	Női szemek	8	5
1983	10	Görögország	görög	Christie Stasinopoulou	Mou les	Azt mondod nekem	14	32
2006	20	Horvátország	horvát	Severina	Moja štikla	A magassarkúm	12	56
2012	18	Törökország	angol	Can Bonomo	Love Me Back	Szeress viszont!	7	112
1986	6	Izland	izlandi	ICY	Gleðibankinn	Az öröm bankja	16	19
1993	21	Horvátország	horvát, angol	Put	Don't Ever Cry	Soha ne sírj	15	31
1986	14	Németország	német	Ingrid Peters	Über die Brücke geh'n	Átkelni a hídon	8	62
2006	18	Ukrajna	angol	Tyina Karol	Show Me Your Love	Mutasd ki a szerelmedet	7	145
1965	7	Norvégia	norvég	Kirsti Sparboe	Karusell	Körhinta	13	1
1996	8	Ausztria	vorarlbergi	George Nussbaumer	Weil's dr guat got	Jól megy most neked	10	68
2002	18	Németország	angol	Corinna May	I Can't Live Without Music	Nem tudok zene nélkül élni	21	17
1982	2	Luxemburg	francia	Svetlana	Cours après le temps	Rohanás az idő után	6	78
2002	14	Dánia	angol	Malene	Tell Me Who You Are	Mondd meg, ki vagy	24	7
2013	25	Grúzia	angol	Nodi Tatishvili és Sophie Gelovani	Waterfall	Vízesés	15	50
1997	22	Franciaország	francia	Fanny	Sentiments songes	Ábrándos érzelmek	7	95
2013	22	Ukrajna	angol	Zlata Ohnevics	Gravity	Gravitáció	3	214
2011	22	Spanyolország	spanyol	Lucía Pérez	Que me quiten lo bailao	Azt az élményt nem vehetik el tőlem	23	50
1998	10	Málta	angol	Chiara	The One That I Love	Az, akit szeretek	3	166
2001	21	Málta	angol	Fabrizio Faniello	Another Summer Night	Egy másik nyári éjjel	9	48
1975	17	Spanyolország	spanyol	Sergio és Estíbaliz	Tú volverás	Visszatérsz	10	53
1991	7	Luxemburg	francia	Sarah Bray	Un baiser volé	Egy lopott csók	14	29
2002	5	Spanyolország	spanyol, angol	Rosa	Europe's Living A Celebration	Európa ünnepel	7	81
1965	17	Jugoszlávia	szerbhorvát	Vice Vukov	Čežnja	Vágyódás	12	2
1962	15	Olaszország	olasz	Claudio Villa	Addio, addio	Viszlát, viszlát	9	3
2004	2	Ausztria	német	Tie Break	Du bist	Te vagy	21	9
1991	15	Izrael	héber	Duo Datz	Kan	Itt	3	139
1989	8	Norvégia	norvég	Britt Synnøve Johansen	Venners nærhet	Barátok közelsége	17	30
1999	23	Észtország	angol	Evelin Samuel és Camille	Diamond of Night	Az éjjel gyémántja	6	90
1964	3	Norvégia	norvég	Arne Bendiksen	Spiral	Spirális	8	6
1988	14	Görögország	görög	Afroditi Frida	Clown	Bohóc	17	10
1991	16	Finnország	finn	Kaija	Hullu yö	Őrült éjszaka	20	6
1974	8	Svédország	angol	ABBA	Waterloo	Waterloo	1	24
1992	16	Egyesült Királyság	angol	Michael Ball	One Step Out of Time	Egy lépéssel lemaradva	2	139
1980	1	Ausztria	német	Blue Danube	Du bist Musik	Te vagy a zene	8	64
1983	9	Finnország	finn	Ami Aspelund	Fantasiaa	Fantázia	11	41
